id_zonal,nombre_zona,nombre_subzona
0,0,MAR TERRITORIAL
zona101,ZONA 1,IMBABURA
zona102,ZONA 1,CARCHI
zona103,ZONA 1,SUCUMBIOS
zona104,ZONA 1,ESMERALDAS
zona201,ZONA 2,PICHINCHA
zona202,ZONA 2,NAPO
zona203,ZONA 2,ORELLANA
zona301,ZONA 3,COTOPAXI
zona302,ZONA 3,TUNGURAHUA
zona303,ZONA 3,PASTAZA
zona304,ZONA 3,CHIMBORAZO
zona401,ZONA 4,SANTO DOMINGO DE LOS TSACHILAS
zona402,ZONA 4,MANABI
zona501,ZONA 5,GUAYAS
zona502,ZONA 5,LOS RIOS
zona503,ZONA 5,BOLIVAR
zona504,ZONA 5,GALAPAGOS
zona505,ZONA 5,SANTA ELENA
zona601,ZONA 6,AZUAY
zona602,ZONA 6,MORONA SANTIAGO
zona603,ZONA 6,CAÑAR
zona701,ZONA 7,LOJA
zona702,ZONA 7,EL ORO
zona703,ZONA 7,ZAMORA CHINCHIPE
zona801,ZONA 8,DMG
zona901,ZONA 9,DMQ
